Store,WeekOfYear,OpenDays,PromoDays,SchoolHolidayDays,WeekendDays,MonthStartDays,MonthEndDays,StateHolidayDays,Year,Month,Quarter,CompetitionDistance,CompetitionOpenKnown,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,TimeIndex,sales_lag_1,sales_lag_2,sales_lag_4,sales_lag_8,sales_lag_52,rolling_mean_4,rolling_std_4,rolling_mean_8,rolling_std_8,rolling_mean_12,rolling_std_12,EMA_4,EMA_8,days_since_last_promo,StoreType_a,StoreType_b,StoreType_c,StoreType_d,Assortment_a,Assortment_b,Assortment_c,"PromoInterval_Feb,May,Aug,Nov","PromoInterval_Jan,Apr,Jul,Oct","PromoInterval_Mar,Jun,Sept,Dec",PromoInterval_none
-2.5298655,-915.68005,390.1825,4752.7056,188.67966,6.9464035,-137.34363,-122.349724,-3.6460187,-5.5663366,-113.41717,-5.8683863,-68.49145,0.0062372508,13.461622,55.076298,29.199898,-10.842631,28.166239,371.88217,-326.91925,123.46111,-317.25998,8.853028,-2222.6826,-1680.3468,272.68555,-952.185,82.61328,-4067.4272,59.563423,-698.39636,-967.6648,596.9998,-39.86455,9.981201,8.327212,-13.326213,7.216051,1.4737089,28.797297,4.3176765,-9.203573,-4.310247,1.250272
1.9626555,7.9603295,602.098,-5210.247,232.11937,-3.3752577,-112.35746,-112.94615,-7.1646414,-4.6645393,46.58097,-1.3691386,3.3957348,-0.1675263,21.686327,35.8225,27.892336,-12.303628,-51.14348,-5.2309704,-184.36053,-504.59738,-150.15451,-16.005669,-2190.8345,-478.43112,-161.09723,-792.75635,-11.347833,-2980.1433,199.19794,35.336082,-724.3528,-460.28085,76.19147,3.6753833,-51.821247,-3.5156648,-59.964527,-0.6895723,-39.69284,-51.250153,-9.243913,-2.5553396,0.28916457
-9.227972,-782.5672,352.20908,4114.797,155.97746,7.4082584,-118.61892,-74.02497,-6.5545306,-14.792539,-83.71905,-3.0992956,-79.00488,1.2237978,-16.452587,50.79578,-37.544064,1.0400597,-22.874678,198.87196,-415.12952,-345.0974,-484.02808,0.64424753,-2981.0693,-2340.2126,-269.91718,-1310.7131,-148.67917,-4909.0996,90.34963,-1050.9901,-1889.6758,472.36517,25.369043,9.4915495,-60.698383,-9.670995,-7.967165,0.6822185,-27.729942,-0.60484886,-9.501065,-5.1508856,-1.1257519
14.218578,-176.11626,-1289.8138,4673.818,271.7795,-2556.8037,-99.47337,740.77515,-6.6245165,-4.424239,-170.5375,-13.792126,66.757935,0.5191035,-58.19061,61.666794,39.927692,16.318224,84.87661,588.6628,-215.83614,177.54327,213.31296,-49.11944,-1663.0308,-343.5417,-119.58675,-633.9932,-48.38798,-2715.1973,27.289383,-354.2988,-640.12006,76.39629,90.8929,8.246667,-32.7849,-12.25629,19.61715,0.5094182,28.227394,-22.357573,-12.985864,37.55407,1.2411437
25.989294,196.22513,636.57794,-5310.6143,223.63449,-3.2716916,-115.39785,-64.30634,-5.7058673,-4.70182,43.98389,1.2792611,9.2357855,0.48984122,13.516909,-8.759507,-8.763681,-50.868896,-68.21195,-216.42162,-101.23897,-601.5437,-197.37946,11.617576,-2368.157,-788.6427,-182.38486,-803.7808,-39.243706,-3557.8447,-30.193008,0.054071546,-973.9137,-498.46222,-69.07798,4.168163,14.117109,-4.2847753,-54.04814,-1.0252584,-34.967495,3.8008084,54.922653,-2.1233213,0.4557062
28.357264,572.71405,663.08514,-6684.815,269.23703,-5.063388,-146.21394,-65.81456,-7.7788644,-3.5867085,22.143824,-4.257936,75.83204,1.2227015,-1.5327371,23.849169,-4.992133,24.843021,-40.031075,160.36444,530.5592,-268.95908,156.40097,-0.8597487,-782.0886,697.45917,-193.28348,1227.3785,-14.809845,6552.1885,-13.891495,834.4554,2418.8267,-804.20605,40.726257,3.416297,1.9593672,18.61342,25.067823,-2.3273396,48.842003,5.5330334,-11.477308,-2.209493,-0.38091052
-1.6548805,-874.0371,-969.51984,5264.2295,181.51645,673.45135,-173.0193,-114.44074,-17.90462,-2.8847797,-136.68826,-8.923958,-26.22331,-3.7412431,50.6172,-92.22196,-44.53047,2.7754793,-33.056408,868.21875,326.9254,-340.6756,-280.87674,-22.330614,4330.2227,1031.1852,-340.74158,1226.6034,14.586821,5324.415,-168.11601,710.68713,1480.3949,692.86847,54.743652,-636.95184,-5.087524,-11.460334,-29.159557,-2.8628907,-19.210821,0.32616344,-5.0080805,-7.8886933,-1.1257519
-25.633333,-80.871155,519.1176,5614.9224,340.04013,8.503471,-170.00151,-71.60911,-10.385668,-2.733334,-12.001514,-10.674288,-55.25513,0.107744,18.964478,75.18134,-24.874193,-2.558327,-23.543198,699.05426,135.12584,-283.9712,456.8057,-54.63788,4001.8828,962.9453,-226.56224,1124.4098,-172.40619,4972.0967,-50.697483,-8.537371,1653.95,937.63934,-62.382133,13.606702,7.0952463,-37.440926,29.383095,0.8005504,35.620407,0.9351532,-17.70201,-2.8721209,-1.1257519
-64.797485,687.8055,486.28082,4877.784,268.55917,6.8239813,706.04144,-65.95491,825.0895,-3.135019,9.453613,-5.3784256,22.483265,-0.52848697,34.88182,20.654108,-0.28993565,-8.033706,-26.446661,184.2121,-306.6233,155.76804,128.25008,-33.803043,-1376.6202,-1118.778,201.40584,-835.9207,-5.464907,-3915.5186,-110.24069,-596.05316,-903.4345,255.51443,80.75343,5.5134754,10.933297,11.246971,-13.554151,-1.23748,-33.174706,0.03219164,-16.353928,-1.7054291,-0.30544105
-11.873527,909.8301,437.51456,6082.0737,312.57388,10.260881,-128.5118,-39.04726,-6.902012,-3.015352,-95.11693,-2.7868369,120.31557,0.60034657,19.978424,107.48555,-4.193733,15.138843,-24.856264,534.5415,281.14612,-796.47375,-353.43878,-27.750204,4035.5754,-554.1498,127.45556,1056.377,201.14835,3498.29,73.062386,-473.1764,-100.800446,-716.1482,59.112144,4.8816357,1.4926404,-15.053984,7.507499,0.5970449,33.57627,-12.397522,-9.447378,-3.3871515,-0.38091052
