Store,OpenDays,PromoDays,SchoolHolidayDays,WeekendDays,MonthStartDays,MonthEndDays,StateHolidayDays,Year,Month,Quarter,CompetitionDistance,CompetitionOpenKnown,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,TimeIndex,sales_lag_1,sales_lag_2,sales_lag_3,sales_lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,EMA_3,EMA_6,days_since_last_promo,StoreType_a,StoreType_b,StoreType_c,StoreType_d,Assortment_a,Assortment_b,Assortment_c,"PromoInterval_Feb,May,Aug,Nov","PromoInterval_Jan,Apr,Jul,Oct","PromoInterval_Mar,Jun,Sept,Dec",PromoInterval_none
-5.054173,3252.517,2851.9126,-665.8705,314.9528,249.71957,245.56718,-12.753974,0.0,-96.084305,-38.499928,-79.676544,0.29078084,-142.56702,281.38052,4.298951,15.010022,-79.39111,-191.1351,2347.849,61.79167,226.13931,-5652.8477,436.70605,187.72662,-142.13751,125.35693,6259.564,7189.0215,0.0,-64.11034,-63.77049,-22.93184,-63.73533,-819.09406,-21.31084,-50.95597,2.2883847,94.26196,-11.3257,-2.1267002
-20.103386,-721.7571,-1722.5189,191.78853,18.6144,-407.7055,-1311.6896,-11.2676115,0.0,7.929129,-0.011767894,235.44049,-0.88991594,-109.11899,325.8126,-3.4842992,-33.227234,-96.87239,1189.6915,-8360.312,-277.3636,-500.5306,-19652.643,-1431.7029,130.83682,-1377.1519,287.39258,-14791.206,-13957.029,0.0,-106.20574,-0.98159057,-4.153833,-129.20204,-701.8955,-11.457716,-102.9157,2.6879935,-36.77211,141.61688,1.5622113
51.777725,2599.6895,2270.7283,-7050.5596,67.19437,344.2759,314.12454,-44.95047,0.0,528.52704,-156.84367,-34.326878,-0.91117156,5.8629513,569.7194,8.636087,26.91443,-9.394241,1146.8049,12030.868,759.912,-637.6046,46206.926,1772.3542,289.13147,2122.5847,128.93935,16978.914,15313.236,0.0,67.10705,-8.217853,-150.77548,-18.648006,-495.78464,-81.27799,-155.33937,1.9405093,170.72203,-40.819992,-2.1267002
11.135283,-234.38818,549.2201,558.86096,35.45847,521.68353,303.6868,-16.53258,0.0,-245.83598,11.663991,-345.59753,-0.3495984,122.992386,573.0712,-2.465591,5.018231,244.21228,2154.5498,6536.5547,708.1666,-625.24634,25370.076,920.6241,166.9813,-161.62051,-1058.6302,14396.079,8786.906,0.0,-88.82633,-3.296193,18.164816,-280.53217,-502.51605,-40.979137,-51.1525,-35.291363,-14.603322,-5.2866664,2.3576992
26.30445,2559.2795,1662.8469,545.4151,7.0275145,259.5708,134.40703,-13.673383,0.0,-809.86475,-79.606926,132.09406,-0.32917523,-49.489887,344.25,0.5327789,10.856953,-218.46239,259.38235,-5775.911,-143.60081,-138.86046,-10656.638,-408.0409,291.1841,-550.0036,188.55208,-6513.159,-8850.537,0.0,72.455986,-8.825316,-7.158964,122.34824,-581.93744,-12.190805,-103.84568,2.6259797,-10.663176,-5.1667366,-0.9027102
18.62938,-663.4346,-2174.031,99.71933,111.110664,-628.28613,-982.8665,-16.42793,0.0,-994.46594,10.49158,-18.49664,-0.55569696,-142.7465,-1314.673,0.7250779,23.130861,-102.80446,2182.2783,-228.8346,1033.9984,-223.08731,-5285.9233,229.40181,499.7461,257.8554,476.75284,6494.0264,8785.848,0.0,97.57882,-3.183476,-6.420493,369.10373,1105.6882,-32.968666,76.32845,8.925537,-22.771593,-6.820342,-0.59813553
14.721489,-252.64986,295.46976,476.20428,11.095931,302.47272,150.3107,-9.647807,0.0,-259.7007,2.6325676,-134.65988,-1.1554865,-29.549757,-105.6882,-3.7261047,1.0500299,-64.93598,1036.361,-8635.778,66.27723,-211.4687,-17055.787,-771.63226,137.88943,-1677.2288,229.87305,-11008.775,-11606.793,0.0,63.56001,-0.40611887,6.174155,-110.30606,-318.5058,-11.670229,-103.91249,-19.401707,-35.359825,-4.933455,2.3576992
65.86041,-285.90033,466.94614,769.2391,32.33121,393.2808,224.50757,-11.944326,0.0,-1295.337,12.0659895,107.32913,0.11351675,36.079952,67.788315,-3.2290692,-43.271523,90.11674,1753.9366,-1499.7241,617.35693,288.17734,-2560.5222,358.68753,36.49982,-217.69936,228.45372,4704.9883,5620.617,0.0,-117.76584,-2.8356285,-7.883036,-321.71564,-434.15372,-28.654007,-70.840385,3.5248466,74.00044,-4.6939363,1.590288
3.032622,-234.04256,572.9562,387.83023,6.547002,430.11655,146.56274,-9.493692,0.0,-309.61154,-57.473328,-565.71216,-1.1813586,-130.2263,-50.023075,-2.2183876,-20.810953,430.63028,1238.156,-4449.864,565.95215,42.48317,-11078.818,461.62036,184.09708,-554.5338,247.66797,2727.6946,1804.4261,0.0,141.58981,-2.2738347,65.97717,-216.1961,-488.90036,-13.981775,-88.681885,3.278706,-37.233166,41.038223,2.3576992
20.853338,2480.5083,-1929.141,-138.2211,1002.2547,-476.18463,178.49904,1845.2477,0.0,-924.30286,-79.05451,698.5606,2.64045,398.06314,-63.77513,-1.5884587,74.84691,-86.24952,1108.2521,6753.917,587.7997,-201.96692,32296.027,470.96188,-295.25677,-880.5569,-88.000534,11672.161,8957.769,0.0,69.66507,-63.041794,-39.316036,269.74393,-659.3499,-9.99553,-149.76942,2.6671915,-18.30445,-4.9381456,-0.47048986
-155.3448,-3330.3174,-1869.9054,260.08817,83.79704,-835.8558,-1377.7942,-52.972733,0.0,-914.65717,-110.61196,-211.67502,-38.344997,-39.98839,104.65376,7.073056,-2.0718408,-9.597833,2409.0999,11669.854,966.386,-832.2669,47251.09,2069.2273,171.6303,4275.913,-242.62001,20270.355,17182.234,0.0,-68.66236,-2.6672425,-35.43938,-209.5282,733.87024,-86.15319,236.3521,2.253725,-15.569928,-6.7187476,-0.59813553
56.491825,-833.67194,-1960.0941,100.06421,91.98638,-747.8007,-716.42554,-12.609844,0.0,-78.76061,-3.55846,118.695435,-0.275709,67.021225,340.762,-2.778105,78.95877,-4.327252,1463.6829,-4654.3867,670.41455,42.6216,-14677.735,87.732315,228.54567,598.96124,-821.8631,2576.034,1211.3911,0.0,-103.44021,-1.2957685,-9.325815,-198.48404,1017.51,-12.772666,19.359276,2.2646167,50.06465,-6.5003486,1.1701571
-25.94111,-778.7651,-1200.9302,460.81586,54.90862,-371.74677,-635.9185,-15.344782,0.0,-283.49814,3.2222235,-242.13722,2.4635334,62.48839,369.07812,0.8718314,-11.573903,64.47136,1235.6072,-12328.828,-518.59247,-648.6837,-22454.23,-2025.4425,217.60844,-3580.377,165.11566,-24365.85,-17481.78,0.0,-163.30229,-1.3965962,-3.8059542,-200.82062,911.16656,-11.443845,185.41888,1.8501831,-19.927727,50.523884,1.5622113
-14.248624,-285.73917,466.42236,506.95535,22.552525,362.51752,233.73723,-11.982222,0.0,-857.66504,34.664146,114.405464,-1.4105988,-116.51161,376.32147,-1.9947637,17.768414,-259.95795,2302.6611,2779.4531,934.3144,64.662506,10827.054,664.5201,449.30618,724.3482,216.6415,11303.616,9539.012,0.0,65.69665,-5.8302827,-1.4782884,507.10245,477.86743,-63.206272,59.405067,1.9843745,-18.530611,-4.2935257,-0.9027102
31.637653,3589.2874,2307.8604,-462.0017,50.302258,367.3277,122.88844,-12.476068,0.0,-516.3768,36.87973,-108.71878,1.0307193,78.238335,507.74026,114.18554,8.314369,-93.90871,209.4632,-988.5578,633.5797,-94.06181,-4349.802,254.1795,107.114456,56.22925,212.16565,5959.7036,7134.433,0.0,74.24796,-66.30458,6.309066,46.853554,913.15045,-24.01715,16.553524,2.9033616,-177.59425,-8.723201,2.90065
-79.576706,-298.63388,450.64453,384.46423,-20.920507,429.52438,100.743645,-10.573699,0.0,-99.95737,33.228653,-201.22652,-1.598943,-122.64196,362.54968,-1.927629,-0.58368385,383.29114,1249.5415,-7637.221,6.568982,-30.626848,-18068.635,-621.9711,7.5044203,-503.0878,168.7375,-9553.611,-11074.079,0.0,115.11554,-1.2816889,-0.011832118,-165.07803,462.03317,-11.513934,157.1,-16.084885,-35.061512,-3.8056488,2.3576992
31.015259,-800.21515,-1700.0265,460.93506,33.984257,-585.4079,-1416.9185,-12.685841,0.0,-90.76678,1.567468,-730.0156,-1.2905413,24.16354,-1159.886,-5.65753,-30.504734,-40.277103,373.61557,-8208.475,-32.421963,-111.59227,-17960.693,-1274.6797,195.24031,-1714.71,236.28488,-11023.14,-12196.464,0.0,-97.999374,1.7801236,0.39108384,-135.45776,-685.64905,-11.32283,-60.429802,5.866632,48.52365,-6.4528265,1.1701571
19.215265,2752.6003,1875.3086,-4599.6694,81.37127,207.9176,196.89952,-11.471215,0.0,-984.1957,-78.04282,-165.10538,2.9105449,-65.426895,-70.13868,-7.3145823,-76.7453,-63.328125,1327.514,3185.8345,1023.33203,-63.9086,21597.64,431.53674,307.69104,-1019.5038,34.04947,8959.254,6539.2417,0.0,-128.5441,-65.84401,-23.390896,-161.38618,667.3173,-29.708553,50.35001,2.4921699,161.49559,488.47675,5.554518
-15.423863,-3887.2563,-2172.5366,459.32675,41.6538,-763.6682,-1586.5284,-57.470165,0.0,-942.9166,-105.75075,-234.82677,1.0007787,36.246857,-637.3178,-44.173607,-164.36966,-401.0816,688.36957,10860.417,1047.5314,-359.15024,45924.445,2017.6501,-12.120347,2204.6812,-313.9867,19963.607,16586.91,0.0,-52.834976,13.257333,51.48642,-208.19826,-703.2718,-57.527443,-116.977425,12.02275,45.530872,-14.61777,1.1701571
-1.0433944,-299.77676,562.6081,475.80734,-57.090126,334.8358,123.13076,-10.436837,0.0,-1064.0245,-57.80862,181.08653,-0.70038366,-68.95158,166.68633,-5.2518697,36.569878,-17.04442,1493.3345,-4708.9976,814.03674,-197.84348,-7047.092,272.15244,223.10162,-386.17386,-119.19127,3628.526,3083.0933,0.0,76.093155,-3.1494048,-23.02969,315.3168,394.63843,-13.459798,26.047157,2.3225713,10.921629,-3.6255476,1.590288
143.1746,-820.9138,-2103.735,157.70943,8.255725,-684.3259,-1467.9965,-16.006937,0.0,-294.09274,-56.721844,588.79926,-0.19802865,22.471043,-727.9535,1.7434156,45.83591,-63.16762,1178.5455,-5004.315,657.2001,-63.885983,-10867.109,-119.97013,141.92004,370.5162,-787.1829,1748.9861,1421.8942,0.0,-75.729095,1.5951678,-23.856127,-111.42856,-860.0446,-13.396113,-21.599108,13.96017,-24.855963,-21.64436,-0.59813553
116.885895,-587.0026,-1755.9236,22.576658,87.82633,-962.19934,-1406.6772,-17.794,0.0,-249.22958,4.9218163,405.2824,3.5099742,25.536087,262.72302,-4.120254,170.082,-100.3926,2927.8208,6505.1855,707.51776,-451.93094,23732.424,727.18066,473.83707,1050.7958,-2232.3765,13769.408,9158.672,0.0,97.35909,-3.5447311,-29.695986,594.42084,743.7469,-43.299732,57.74132,-16.770664,-27.27968,-6.939888,1.5622113
-3.3557155,-789.45386,-1750.3829,248.6589,48.898293,-506.63577,-1270.9946,-16.12328,0.0,-110.09586,32.821136,-383.60654,-1.4515177,-112.38185,-77.08941,-2.2658486,1.7878599,-69.52156,1172.492,-7432.539,-15.995198,-73.62294,-18627.754,-1373.1111,143.37445,-940.3601,344.36258,-10457.875,-11442.198,0.0,-89.38702,-0.40611887,-5.6032586,-98.93127,-639.68066,-11.704758,-105.124695,7.5112925,-23.330822,-13.491992,-0.59813553
1.6288003,-787.86957,-1518.0604,189.54396,117.1847,-461.2312,-1377.8491,-16.685225,0.0,-391.11502,0.5647948,105.18743,1.6402843,75.97817,379.87198,-2.5807395,7.2346168,-77.243744,1185.3179,-6605.8364,1.7693592,-113.33572,-16201.797,-766.1309,23.449942,-390.83862,150.2591,-8543.11,-10261.557,0.0,103.827995,-0.8807629,-11.254879,312.22955,-728.0513,-11.2343235,-57.433826,1.957099,61.007263,-20.31906,1.1701571
-38.722725,2851.6404,1891.0969,522.0657,-13.877771,346.6748,120.97959,-12.374694,0.0,-1062.015,-130.80693,-24.261646,-0.008765876,-17.210299,379.18665,-1.9608638,-36.559696,476.46652,-211.60658,-2299.046,-749.3457,-11.199728,-4136.883,-94.533264,211.11215,-1301.7645,169.18616,3726.35,3108.2146,0.0,152.96217,-63.48355,-21.431963,328.9195,628.9483,-18.533863,56.11295,-19.8037,-16.597824,-5.011329,2.3576992
-4.518567,-139.92607,457.46878,577.91595,15.1647215,259.01886,138.96368,-12.536053,0.0,-38.5959,3.0183904,299.17694,-0.76622415,-43.661083,-487.65964,91.605675,34.52873,-47.40407,1034.9299,-14389.622,-555.86346,-429.85474,-23720.514,-1892.9766,170.2084,-3772.5054,-58.23221,-26909.477,-18366.092,0.0,-45.827904,0.08699751,-5.98976,-91.83502,-376.09247,-11.462353,-39.696896,4.4598165,76.92651,-4.475894,1.590288
-3.9514382,-761.9443,-2100.6777,463.99094,37.817696,-656.9784,-1319.7124,-10.894273,0.0,-668.92816,-59.036346,60.23851,-0.39941302,-53.443577,40.06514,-4.881367,-41.15673,-40.892475,302.75555,-4023.353,400.6435,-98.07101,-10083.146,-109.64252,245.67268,-2225.6438,336.14667,34.998184,416.3967,0.0,-117.91023,-0.42019856,-5.040097,-192.99277,-651.9213,-13.028172,-53.284077,5.059348,38.919727,-13.192034,1.1701571
-33.28967,-842.906,-1829.9963,114.74916,235.60106,-840.9517,-986.1797,-12.11228,0.0,-1093.2439,33.268612,22.190445,1.1172539,99.31343,443.08313,-2.1811523,-36.97626,309.53036,2457.0034,1597.6399,910.7347,-188.6578,-2048.5383,597.62366,513.3214,2494.2112,359.15045,9893.923,14253.117,0.0,121.207985,-5.9227057,-8.086831,739.3962,1034.2009,-57.449627,66.71001,2.1563106,30.461971,-6.5788574,1.1701571
